The Housemaid;Freida McFadden;4,33;338;1359077;115623;2022-04-26;2022;Thriller
Time Is a Mother;Ocean Vuong;3,95;114;28690;4724;2022-04-05;2022;Queer
Hide;Kiersten White;3,33;240;36501;6833;2022-05-24;2022;Horror
The Marriage Portrait;Maggie O'Farrell;4,01;355;152969;15142;2022-08-30;2022;Historical Fiction
Our Wives Under the Sea;Julia Armfield;3,78;240;76797;15644;2022-03-03;2022;Horror
Lapvona;Ottessa Moshfegh;3,53;313;68295;15272;2022-06-21;2022;Fiction
Hester;Laurie Lico Albanese;3,97;322;38287;5021;2022-10-04;2022;Historical Fiction
Horse;Geraldine Brooks;4,28;401;145267;14077;2022-06-14;2022;Historical Fiction
A Mirror Mended;Alix E. Harrow;3,77;128;12395;1987;2022-06-14;2022;Fantasy
Finlay Donovan Knocks 'Em Dead;Elle Cosimano;3,98;357;90697;10667;2022-02-01;2022;Mystery
Cursed;Marissa Meyer;4,01;485;22665;3339;2022-11-08;2022;Fantasy
The Daughter of Doctor Moreau;Silvia Moreno-Garcia;3,58;306;33049;4952;2022-07-19;2022;Historical Fiction
Finding Me;Viola Davis;4,55;304;128444;16698;2022-04-26;2022;Nonfiction
Unmasked: My Life Solving America's Cold Cases;Paul Holes;4,1;288;25540;2939;2022-04-26;2022;True Crime
Critical Alliance;Elizabeth Goddard;4,39;368;815;252;2022-07-01;2022;Christian Fiction
Our Missing Hearts;Celeste Ng;3,8;335;184019;18126;2022-10-04;2022;Fiction
A Sunlit Weapon;Jacqueline Winspear;4,27;358;14845;1443;2022-03-22;2022;Mystery
Delilah Green Doesn't Care;Ashley Herring Blake;4,09;375;90829;13721;2022-02-22;2022;Romance
The Serpent and the Wings of Night;Carissa Broadbent;4,33;504;367705;43805;2022-08-30;2022;Romance
Terms and Conditions;Lauren Asher;4,12;435;366348;34519;2022-02-24;2022;Romance
The Good Left Undone;Adriana Trigiani;3,98;439;25013;2613;2022-04-26;2022;Historical Fiction
Nightcrawling;Leila Mottley;3,98;277;50553;6592;2022-06-07;2022;Fiction
