The Island;Adrian McKinty;3,78;35,285 ;5,190 ;375;2022-05-17;2022;Thriller
Less Is Lost;Andrew Sean Greer;3,72;17,841 ;2,286 ;272;2022-09-20;2022;Fiction
By the Book;Jasmine Guillory;3,72;38,851 ;5,557 ;320;2022-05-03;2022;Romance
Weather Girl;Rachel Lynn Solomon;3,62;44,621 ;7,053 ;336;2022-01-11;2022;Romance
In Search of a Prince;Toni Shiloh;4,2;1,363 ;539 ;374;2022-02-01;2022;Romance
Happy-Go-Lucky;David Sedaris;4,18;43,071 ;4,238 ;272;2022-05-31;2022;Humor
A World of Curiosities;Louise Penny;4,46;66,225 ;6,304 ;390;2022-11-29;2022;Mystery
You Made a Fool of Death with Your Beauty;Akwaeke Emezi;3,55;49,033 ;8,904 ;288;2022-05-24;2022;Romance
The Atlas Paradox;Olivie Blake;3,56;58,627 ;9,547 ;397;2022-10-25;2022;Fantasy
Wahala;Nikki May;3,64;15,859 ;2,538 ;384;2022-01-06;2022;Fiction
Foul Lady Fortune;Chloe Gong;4,24;26,043 ;5,952 ;528;2022-09-27;2022;Fantasy
The Matchmaker's Gift;Lynda Cohen Loigman;4,15;18,223 ;2,684 ;320;2022-09-20;2022;Historical Fiction
Mr. Wrong Number;Lynn Painter;3,69;120,018 ;15,899 ;352;2022-03-01;2022;Romance
Running Wild;K.A. Tucker;4,21;30,108 ;3,260 ;370;2022-01-25;2022;Romance
The Swimmers;Julie Otsuka;3,68;32,406 ;5,394 ;176;2022-02-22;2022;Fiction
Rogues: True Stories of Grifters, Killers, Rebels and Crooks;Patrick Radden Keefe;4,01;16,238 ;1,822 ;368;2022-06-28;2022;Nonfiction
What Lies Beyond the Veil;Harper L. Woods;3,6;67,769 ;7,739 ;419;2022-02-22;2022;Fantasy
Wicked Beauty;Katee Robert;3,95;57,907 ;6,301 ;402;2022-06-07;2022;Romance
Thistlefoot;GennaRose Nethercott;3,96;19,438 ;3,617 ;448;2022-09-13;2022;Fantasy
The Wedding Dress Sewing Circle;Jennifer  Ryan;4,09;17,849 ;2,505 ;411;2022-05-31;2022;Historical Fiction
Twin Crowns;Catherine Doyle;3,95;25,255 ;4,425 ;480;2022-05-17;2022;Fantasy
To Paradise;Hanya Yanagihara;3,76;46,483 ;7,077 ;720;2022-01-11;2022;Fiction
Vladimir;Julia May Jonas;3,45;33,313 ;5,376 ;238;2022-02-01;2022;Fiction
Meant to Be;Emily Giffin;3,92;83,621 ;5,966 ;368;2022-05-31;2022;Romance
A Lady's Guide to Fortune-Hunting;Sophie Irwin;3,92;38,811 ;6,527 ;325;2022-05-12;2022;Romance
The Undertaking of Hart and Mercy;Megan Bannen;4,09;32,210 ;6,500 ;336;2022-08-23;2022;Fantasy
Other Birds;Sarah Addison Allen;4,03;67,328 ;8,990 ;290;2022-08-30;2022;Fiction
My Government Means to Kill Me;Rasheed Newson;4,25;5,043 ;946 ;276;2022-08-23;2022;Historical Fiction
Her Last Goodbye;Rick Mofina;4;2,408 ;229 ;384;2022-01-25;2022;Mystery
Thank You for Listening;Julia Whelan;4;74,232 ;11,650 ;432;2022-08-02;2022;Romance
Things We Do in the Dark;Jennifer Hillier;3,95;102,699 ;10,103 ;352;2022-07-19;2022;Thriller
The Deepest of Secrets;Kelley Armstrong;4,14;6,637 ;752 ;352;2022-02-15;2022;Mystery
The Unmarked Witch;Miranda Lyn;4,05;9,036 ;1,018 ;421;2022-09-12;2022;Fantasy
Ocean's Echo;Everina Maxwell;4,13;7,799 ;1,657 ;464;2022-11-01;2022;Science Fiction
A Thousand Heartbeats;Kiera Cass;3,91;23,388 ;3,853 ;576;2022-11-29;2022;Romance
Into the Riverlands;Nghi Vo;4,03;7,946 ;1,410 ;100;2022-10-25;2022;Fantasy
Two Nights in Lisbon;Chris Pavone;3,73;32,669 ;3,935 ;436;2022-05-24;2022;Mystery
Don't Cry for Me;Daniel   Black;4,35;13,062 ;2,096 ;301;2022-02-01;2022;Fiction
Patricia Wants to Cuddle;Samantha Allen;3,56;14,232 ;3,571 ;256;2022-06-28;2022;Horror
For the Throne;Hannah F. Whitten;3,83;14,524 ;2,094 ;457;2022-06-07;2022;Fantasy
God of Wrath;Rina Kent;4,18;69,574 ;6,965 ;492;2022-11-17;2022;Romance
Life Ceremony;Sayaka Murata;3,75;19,183 ;3,563 ;256;2019-10-01;2019;Short Stories
Exiles;Jane Harper;4,05;61,500 ;6,101 ;356;2022-09-20;2022;Mystery
Court;Tracy Wolff;4,16;62,140 ;4,897 ;720;2022-02-01;2022;Fantasy
Sister Mother Warrior;Vanessa Riley;3,92;728 ;163 ;480;2022-07-12;2022;Historical Fiction
Signal Moon: A Short Story;Kate Quinn;4,33;24,217 ;2,160 ;57;2022-08-01;2022;Historical Fiction
Where the Sky Begins;Rhys Bowen;4,33;26,553 ;1,138 ;364;2022-08-02;2022;Historical Fiction
Fox Creek;William Kent Krueger;4,22;14,806 ;1,398 ;388;2022-08-23;2022;Mystery
The Codebreaker's Secret;Sara Ackerman;4,12;8,334 ;843 ;384;2022-08-02;2022;Historical Fiction
Mad About You;Mhairi McFarlane;3,84;29,345 ;3,447 ;432;2022-04-14;2022;Romance
The Foundling;Ann Leary;3,89;12,500 ;1,343 ;336;2022-05-31;2022;Historical Fiction
Thrust;Lidia Yuknavitch;3,54;2,081 ;437 ;352;2022-06-28;2022;Fantasy
Well Traveled;Jen DeLuca;3,79;14,027 ;1,988 ;305;2022-12-06;2022;Romance
Joan;Katherine J. Chen;3,96;7,232 ;1,196 ;368;2022-07-05;2022;Historical Fiction
The Woman in the Library;Sulari Gentill;3,51;71,639 ;11,301 ;288;2022-06-07;2022;Mystery
Dinosaurs;Lydia Millet;3,88;10,496 ;1,631 ;230;2022-10-11;2022;Fiction
An Inconvenient Vow;Alice Coldbreath;4,22;2,465 ;287 ;502;2022-02-15;2022;Historical Romance
The Hourglass Throne;K.D. Edwards;4,58;4,837 ;790 ;375;2022-05-17;2022;Fantasy
Dark Country;Monique Snyman;4,2;95 ;43 ;256;2022-05-17;2022;Horror
A Thousand Moments;Kelly Moran;3,75;165 ;69 ;85;2022-06-07;2022;Contemporary Romance
The Next Ship Home;Heather Webb;4,17;8,260 ;945 ;421;2022-02-08;2022;Historical Fiction
Honor;Thrity Umrigar;4,37;59,916 ;5,797 ;326;2022-01-04;2022;Fiction
Night of the Living Rez;Morgan Talty;3,91;10,670 ;1,532 ;285;2022-07-05;2022;Short Stories
Where the Blue Sky Begins;Katie Powner;4,3;760 ;226 ;352;2022-10-01;2022;Christian Fiction
Wishtress;Nadine Brandes;4,03;2,402 ;764 ;453;2022-09-13;2022;Fantasy
Now Is Not the Time to Panic;Kevin  Wilson;3,69;55,199 ;6,859 ;246;2022-11-15;2022;Fiction
Funny You Should Ask;Elissa Sussman;3,59;125,937 ;18,944 ;352;2022-04-12;2022;Romance
The Premonition at Withers Farm;Jaime Jo Wright;4,3;906 ;294 ;400;2022-10-11;2022;Christian Fiction
The Sunbearer Trials;Aiden Thomas;4,34;18,684 ;4,338 ;352;2022-09-06;2022;Fantasy
Unlikely Animals;Annie Hartnett;4,09;19,609 ;3,464 ;348;2022-04-12;2022;Fiction
